tau,coef,ci_lo,ci_hi,group,tau_plot,coef_disc,coef_nodisc,ci_lo_disc,ci_hi_disc,ci_lo_nodisc,ci_hi_nodisc,tau_disc,tau_nodisc
-4,.0084353518,-.019665085,.036535788,Disclosure,-4.1199999,.0084353518,,-.019665085,.036535788,,,-4.1199999,
-3,.0018765716,-.017383222,.021136366,Disclosure,-3.1199999,.0018765716,,-.017383222,.021136366,,,-3.1199999,
-2,-.0019083143,-.014393396,.010576767,Disclosure,-2.1199999,-.0019083143,,-.014393396,.010576767,,,-2.1199999,
-1,0,0,0,Disclosure,-1.12,0,,0,0,,,-1.12,
0,.000011408645,-.0070968973,.0071197143,Disclosure,-.12,.000011408645,,-.0070968973,.0071197143,,,-.12,
1,-.0041287192,-.01635471,.0080972705,Disclosure,.88,-.0041287192,,-.01635471,.0080972705,,,.88,
2,-.010026149,-.026508909,.0064566093,Disclosure,1.88,-.010026149,,-.026508909,.0064566093,,,1.88,
3,-.015293142,-.031087905,.00050162035,Disclosure,2.8800001,-.015293142,,-.031087905,.00050162035,,,2.8800001,
4,-.025977913,-.05047207,-.0014837547,Disclosure,3.8800001,-.025977913,,-.05047207,-.0014837547,,,3.8800001,
-4,-.019576307,-.036154963,-.0029976529,Non-Disclosure,-3.8800001,,-.019576307,,,-.036154963,-.0029976529,,-3.8800001
-3,-.0027985238,-.01137947,.0057824226,Non-Disclosure,-2.8800001,,-.0027985238,,,-.01137947,.0057824226,,-2.8800001
-2,-.0017210876,-.0063829347,.0029407595,Non-Disclosure,-1.88,,-.0017210876,,,-.0063829347,.0029407595,,-1.88
-1,0,0,0,Non-Disclosure,-.88,,0,,,0,0,,-.88
0,.00031657121,-.005009036,.0056421785,Non-Disclosure,.12,,.00031657121,,,-.005009036,.0056421785,,.12
1,-.0050505763,-.015094431,.0049932781,Non-Disclosure,1.12,,-.0050505763,,,-.015094431,.0049932781,,1.12
2,-.0086414721,-.025056116,.0077731716,Non-Disclosure,2.1199999,,-.0086414721,,,-.025056116,.0077731716,,2.1199999
3,-.012598499,-.034852367,.0096553704,Non-Disclosure,3.1199999,,-.012598499,,,-.034852367,.0096553704,,3.1199999
4,-.032430898,-.070402406,.005540607,Non-Disclosure,4.1199999,,-.032430898,,,-.070402406,.005540607,,4.1199999
