series,tau,coef,se,ci_lo,ci_hi,tau_plot,coef_up,coef_down,ci_lo_up,ci_hi_up,ci_lo_down,ci_hi_down,tau_up,tau_down
Downzoned,-4,-.75815439,.9203378,-2.5620165,1.0457077,-3.8800001,,-.75815439,,,-2.5620165,1.0457077,,-3.8800001
Downzoned,-3,-1.0628507,.65985119,-2.3561592,.23045765,-2.8800001,,-1.0628507,,,-2.3561592,.23045765,,-2.8800001
Downzoned,-2,-.9152987,.33783674,-1.5774587,-.25313866,-1.88,,-.9152987,,,-1.5774587,-.25313866,,-1.88
Downzoned,-1,0,0,0,0,-.88,,0,,,0,0,,-.88
Downzoned,0,.55328929,.33832744,-.10983252,1.2164111,.12,,.55328929,,,-.10983252,1.2164111,,.12
Downzoned,1,3.7927406,2.4944072,-1.0962973,8.6817789,1.12,,3.7927406,,,-1.0962973,8.6817789,,1.12
Downzoned,2,3.604795,3.7890956,-3.8218327,11.031423,2.1199999,,3.604795,,,-3.8218327,11.031423,,2.1199999
Downzoned,3,1.6894253,4.4190063,-6.9718275,10.350678,3.1199999,,1.6894253,,,-6.9718275,10.350678,,3.1199999
Downzoned,4,-3.1746962,6.2454333,-15.415746,9.0663528,4.1199999,,-3.1746962,,,-15.415746,9.0663528,,4.1199999
Upzoned,-4,1.2970659,.71359068,-.10157194,2.6957035,-4.1199999,1.2970659,,-.10157194,2.6957035,,,-4.1199999,
Upzoned,-3,.50941563,.81837332,-1.094596,2.1134274,-3.1199999,.50941563,,-1.094596,2.1134274,,,-3.1199999,
Upzoned,-2,-.34728876,.45531943,-1.2397149,.54513735,-2.1199999,-.34728876,,-1.2397149,.54513735,,,-2.1199999,
Upzoned,-1,0,0,0,0,-1.12,0,,0,0,,,-1.12,
Upzoned,0,.20667045,.47494394,-.72421968,1.1375605,-.12,.20667045,,-.72421968,1.1375605,,,-.12,
Upzoned,1,-1.568601,1.2217827,-3.963295,.82609308,.88,-1.568601,,-3.963295,.82609308,,,.88,
Upzoned,2,-2.0942793,1.5644189,-5.1605401,.97198188,1.88,-2.0942793,,-5.1605401,.97198188,,,1.88,
Upzoned,3,-2.2108917,1.4640526,-5.0804348,.65865135,2.8800001,-2.2108917,,-5.0804348,.65865135,,,2.8800001,
Upzoned,4,-1.290059,2.4296789,-6.0522294,3.4721117,3.8800001,-1.290059,,-6.0522294,3.4721117,,,3.8800001,
