series,tau,coef,se,ci_lo,ci_hi
County,-4,-.0083940607,.0076493877,-.02338686,.0065987394
County,-3,-.00035333398,.0047034887,-.0095721716,.0088655036
County,-2,-.0013801829,.0030319865,-.0073228762,.0045625106
County,-1,0,0,0,0
County,0,-.000048537357,.0023069142,-.0045700893,.0044730147
County,1,-.0045368522,.003996226,-.012369455,.0032957504
County,2,-.0092598777,.0059856749,-.0209918,.0024720447
County,3,-.013874536,.0071396613,-.027868273,.0001191998
County,4,-.028704729,.011295477,-.050843865,-.0065655936
State,-4,-.0083940607,.011708993,-.031343687,.014555565
State,-3,-.00035333398,.0050087185,-.010170422,.0094637545
State,-2,-.0013801829,.0026719733,-.0066172509,.0038568848
State,-1,0,0,0,0
State,0,-.000048537357,.001843181,-.003661172,.0035640972
State,1,-.0045368522,.0039769649,-.012331704,.003257999
State,2,-.0092598777,.0068629864,-.022711331,.0041915751
State,3,-.013874536,.0081953155,-.029937355,.0021882823
State,4,-.028704729,.013177579,-.054532785,-.0028766724
